3         ,02-08-2023 00:05:41    ,1         ,100       ,5     ,0     ,
1         ,02-08-2023 00:09:23    ,2         ,400       ,4     ,0     ,
2         ,02-08-2023 00:09:37    ,3         ,50        ,10    ,0     ,
1         ,02-08-2023 23:26:45    ,4         ,400       ,6     ,2     ,
3         ,04-08-2023 19:10:43    ,5         ,500       ,0     ,1     ,
1         ,05-08-2023 23:37:21    ,6         ,1000      ,0     ,4     ,
4         ,06-08-2023 16:42:52    ,7         ,700       ,8     ,0     ,
4         ,06-08-2023 16:44:51    ,8         ,3000      ,9     ,7     ,
4         ,06-08-2023 16:49:35    ,9         ,300       ,0     ,8     ,
2         ,06-08-2023 16:50:05    ,10        ,650       ,0     ,3     ,
